,0,1,2,3,4,5,6,7
0,turf,area,sell,win,souls,weight,accustomed,sons
1,riding,regions,sold,cease,beasts,handle,prepared,company
2,bushes,masses,library,dare,ugly,grip,alert,glory
3,pavement,spaces,shops,wake,rich,sword,eager,queen
4,peering,spreading,board,defeat,fools,rifle,intent,laughter
5,receding,centres,chaps,disaster,brave,cover,joined,brothers
6,curtains,urban,paid,storm,clothing,counter,forced,daughters
7,snow,railways,cambridge,morrow,healthy,check,secure,hunger
8,pine,buildings,school,danger,weak,stick,listened,delight
9,rolled,towns,per,belgium,fed,knife,hurried,anxiety
10,thoughtfully,airships,goods,drive,decent,wheel,pushed,friends
11,eudena,villages,ride,realize,plants,pen,occupied,servants
12,sand,areas,buy,stay,poor,teeth,allowed,toil
13,crumpled,eastern,eleven,victory,dirty,throw,abandoned,enthusiasm
14,overhead,branches,parliament,continue,sweet,finger,directed,tears
15,grass,shattered,officers,fight,finer,blow,parties,gods
16,dropping,seas,employed,peace,cruel,milk,fled,hearts
17,leaping,ships,schools,journey,delicate,gun,listening,cries
18,ball,distribution,college,battle,wretched,chin,excited,passion
19,rode,fields,ave,stop,wear,brute,chose,sister
20,gate,industrial,pay,rush,helpless,cavalry,pursued,pride
21,rolling,northward,bill,happen,kindly,nerves,freely,sake
22,moonlight,division,office,suffer,handsome,chest,staring,passions
23,brow,patches,bought,mankind,beautiful,examine,pressed,song
24,cliff,walls,n,realised,suffer,balance,sufficient,passionate
25,waving,engines,university,come,wise,rights,positions,youth
26,knee,empires,vote,vanish,silly,leg,counted,news
27,tree,churches,royal,destruction,splendid,risk,moved,nursery
28,sunlit,roads,ad,happening,mud,responsibility,proceedings,hopes
29,hanging,gigantic,post,fighting,grow,gesture,rode,wisdom
30,handkerchief,ocean,im,hope,pitiful,nerve,seated,sympathy
31,sideways,seq,folkestone,martians,jolly,extended,responsible,pleasure
32,lane,cities,club,fail,flesh,cheek,approached,opportunity
33,lawn,cells,cheap,reach,shy,infantry,perplexed,police
34,clambered,mountain,stock,headlong,hearts,pressure,ineffectual,souls
35,slope,boundaries,manage,prevent,dull,knee,chairs,dignity
36,jacket,soil,twelve,join,children,arm,controlled,refuge
37,swung,centre,committee,aeroplanes,smart,jaw,equipped,custom
38,blackness,chinese,send,surely,homes,profit,services,leaders
39,yard,fabric,x,destroy,fine,aim,exhausted,employer
40,hole,floating,district,build,beast,rent,inquiries,courage
41,flames,armies,trains,realise,hundreds,handkerchief,persons,temper
42,crimson,globe,de,die,die,ring,contrived,orders
43,gorge,steam,w,europe,respectable,false,hostile,anger
44,foot,production,anywhere,till,weary,use,paid,admiration
45,doorway,population,spend,happens,villages,tissue,pulled,security
46,horrocks,region,milk,retreat,hungry,rail,selenites,comfort
47,leapt,southward,properly,death,glorious,supply,devoted,voices
48,wrapped,mechanical,em,struggle,jealous,strength,avoid,greatness
49,heaps,railway,p,pass,hate,limbs,engaged,schemes
50,candle,communication,students,westward,beings,act,equal,singing
51,peered,huge,chap,driving,happy,carry,join,cousin
52,cigar,sand,ere,germans,prosperous,leant,employment,kings
53,shade,traffic,list,somewhere,delight,maintain,sufficiently,bread
54,staggered,shapes,bicycle,wasted,clever,excuse,officials,children
55,woods,central,e,fought,desires,bag,unable,patience
56,black,column,ow,smash,eat,apparatus,armed,strength
57,wet,mechanism,b,go,alive,shoulders,returned,traditions
58,rushed,scattered,london,anywhere,pure,pull,seeking,bitterness
59,green,bulk,farm,pull,creatures,neck,flung,officers
60,cab,forest,blessed,clearer,fun,advantage,movements,lord
61,steep,growth,army,hoped,pride,gripped,foreign,leisure
62,rain,aeroplanes,r,paris,precious,hold,staggered,career
63,heavily,haze,comfortable,meant,clean,win,deliberately,sacrifice
64,whirling,western,works,earth,burnt,fingers,themselves,host
65,glasses,gorge,motor,stir,aren,firm,desperate,possessions
66,gaunt,groups,forty,until,lovers,lose,pockets,weeping
67,wood,pouring,boxes,begin,sensible,test,continued,fate
68,slipped,net,money,sphere,stupid,twisted,ready,fear
69,knees,warfare,museum,wait,wearing,credit,hands,folly
70,silently,eastward,george,fly,fair,hide,addressed,mutual
71,leaning,destruction,medical,alter,wicked,handed,walked,jealousy
72,shining,waves,port,coming,animals,smash,watching,son
73,revolver,steep,servants,drift,women,impulse,violently,silence
74,edge,hills,newspaper,escape,honest,excessive,individuals,wine
75,sunlight,stages,oxford,strike,wounded,force,bore,happiness
76,smoke,bodies,westminster,war,dangerous,support,extended,freedom
77,patch,asia,eight,folly,living,destroy,defensive,rome
78,lake,wilderness,town,leave,hunger,pipe,international,vigour
79,glittering,ruins,newspapers,star,beaten,rules,judged,curiosity
80,rail,plants,soldiers,civilisation,pity,bare,hopelessly,panic
81,glare,tower,railway,choose,flowers,thrust,win,supper
82,marched,building,five,happened,vanity,ear,advanced,service
83,flew,woods,infantry,kill,innumerable,keep,willing,elizabeth
84,white,decay,fed,sinking,plant,owner,swayed,confidence
85,hid,steel,nine,feared,dying,skin,meal,abroad
86,glass,coast,cavalry,darkness,born,beat,helped,adventure
87,red,communities,seven,break,chaps,staggered,both,priest
88,walking,canal,hotel,save,grown,knees,tied,drinking
89,athwart,passages,l,resolve,lives,goods,knees,cry
90,shot,field,teach,leap,vulgar,wire,explanations,efforts
91,lamp,industry,shop,seek,kill,individual,anxious,husband
92,purple,district,st,hostels,petty,external,employed,horror
93,sunset,china,pounds,bombs,noble,collar,efforts,resources
94,pulled,pine,capital,awake,workers,body,clung,vanity
95,burning,minor,usually,fear,generous,nose,trained,faith
96,bottle,clouds,landlord,rain,paint,shame,marched,death
97,staircase,athwart,chosen,abroad,dreadful,liberty,support,devotion
98,top,vast,boys,awakened,ignorant,head,held,lovers
99,ugh,roof,eh,ugh,stones,action,fought,authority
100,boat,sunlit,eat,drop,abundant,bottle,reform,preparation
101,twisted,spread,classes,believe,bigger,pocket,cleared,perpetual
102,hastily,stream,books,mischief,clad,hands,clambered,father
103,stones,band,d,occurred,killing,ownership,agreed,daughter
104,staring,river,sit,lift,passions,help,tables,king
105,swaying,ice,department,avoid,millions,steel,sought,charles
106,tower,overhead,trenches,us,bodies,forward,determined,club
107,across,surface,build,move,gentle,hit,deserted,violence
108,hurried,necessities,sunday,sleep,clothes,control,released,ambition
109,jumped,heap,member,ahead,hurt,machinery,leant,captain
110,lomi,metal,rooms,return,happiness,contents,pace,health
111,curtain,operations,john,planet,worn,mouth,motionless,shelter
112,trees,arch,choose,bring,nice,bent,served,wife
113,cap,airship,square,ultimately,live,meat,imaginations,intentions
114,yellow,rock,car,asia,lonely,honour,expert,stock
115,shed,north,named,seas,loose,lift,maintain,excitement
116,ice,parts,wire,pit,nowadays,moustache,proceeded,inquiries
117,thick,gulf,ought,arise,tender,forthwith,seek,misery
118,pale,irregular,respectable,hang,foolish,throb,struggled,welfare
119,lamps,valley,aren,count,soft,sheer,resolved,store
120,dusty,houses,pieces,lose,beauty,move,helen,mother
121,mud,waters,er,repeat,birds,engine,kissed,march
122,motionless,races,yesterday,beat,owners,shook,daughters,charm
123,dropped,upper,paris,quarrel,sees,swung,kept,advice
124,surveyed,blackness,branch,eastward,beautifully,coat,dining,master
125,carriage,infantry,j,expect,rarely,forehead,groups,absence
126,chest,civilisation,quarters,wind,brains,efficiency,examined,triumph
127,shadows,mass,members,fall,desirable,pockets,neglected,multitudes
128,sleeping,wheels,pick,tell,proud,vote,students,beer
129,corner,iron,trade,dawn,spirited,trousers,educated,proceedings
130,leant,portion,village,russia,brothers,drop,forward,victory
131,window,fleet,used,faster,feel,security,regarding,places
132,string,tangle,nice,turn,comfortable,box,silently,worship
133,bars,forms,assistant,waste,pleasure,kiss,peered,speech
134,collar,branch,nobody,lomi,trained,resources,keeping,desire
135,dancing,activity,papers,enemy,strong,draw,lecture,address
136,brightly,bars,six,millions,singing,claim,armies,fellows
137,walked,lamps,telephone,send,often,double,silent,streets
138,cheek,available,bank,tumult,hats,horse,attempts,losing
139,ran,runs,americans,saved,sin,chair,raised,lack
140,bank,size,g,germany,rare,put,bent,astonishment
141,quivering,sweeping,gentlemen,crisis,dusty,bill,rested,cossar
142,sweeping,boats,row,chances,food,single,workers,heaven
143,mirror,egypt,police,dangers,garments,machine,direct,eating
144,rushing,artificial,lecture,we,land,hand,conceived,emperor
145,sharply,isolated,cross,march,utterly,pulled,friendly,assurance
146,flame,downward,holiday,pain,solid,price,wandered,lives
147,soft,administrative,hunting,resolved,uniform,pick,their,dreams
148,pipe,swaying,court,solution,intensely,sell,minimum,dread
149,cart,coal,stay,fast,dressed,collective,sustained,christ
150,sank,main,built,ourselves,mountains,ability,resumed,wild
151,fire,establishment,twenty,exist,drink,increase,operations,thoughts
152,singing,varied,date,learn,buried,ground,thrust,bell
153,crest,city,lunch,conflict,trust,shell,contact,servant
154,silver,hollow,badly,expected,fat,arms,others,ethel
155,rose,range,four,shall,evil,brains,gripped,services
156,waved,machines,wear,intolerable,bad,position,profit,secret
157,cigarette,cliff,union,wilderness,brute,brow,roused,tea
158,tail,africa,week,wars,shelter,enemy,apart,dining
159,distant,farm,horses,twilight,people,nervous,multitudes,johnson
160,steps,lower,o,will,skin,build,capable,hugh
161,tall,parallel,station,grow,lot,fly,gestures,quarters
162,twilight,trees,household,if,possess,shout,quickly,presence
163,throat,store,c,rise,dead,coal,politicians,family
164,rock,advance,families,sooner,crying,bread,reduced,coffee
165,dark,weapons,stayed,spend,thousands,property,feared,search
166,coat,bombs,get,world,savage,ultimately,limited,rage
167,heap,supply,company,sleeper,worship,seek,organized,enterprise
168,down,existing,illustrated,try,wild,shelter,laughed,died
169,crossed,reconstruction,professor,rest,are,revolver,failed,employment
170,feet,extensive,sons,live,incapable,tail,working,hostility
171,wall,height,girls,america,tremendously,minimum,interested,soldiers
172,dressing,platform,wait,gather,meat,pay,ignore,possession
173,clock,experimental,iii,fleet,texture,mud,hats,friendship
174,beard,homes,available,last,civilised,bar,preoccupied,ideals
175,flat,quarters,ii,asleep,damned,legs,heads,food
176,flashed,imperialism,election,settled,wonderful,breath,stood,charity
177,bedroom,glare,articles,tremendous,limited,resolve,vain,peace
178,shoulder,european,soldier,hate,scared,brain,mutual,return
179,blue,scale,fifteen,burst,worse,skull,search,law
180,leg,offices,bath,future,stained,flesh,removed,fatigue
181,dust,disorder,owners,breeze,families,bone,fixed,associations
182,hung,collapse,officials,generations,wine,money,active,journey
183,hurrying,monstrous,regular,drove,harsh,take,talked,students
184,dimly,states,church,get,love,function,plans,days
185,faintly,traditions,abroad,begun,parents,drink,dogs,jim
186,smoking,victorian,price,gorge,drinking,dorsal,officers,names
187,gallery,whirling,teachers,release,fellows,offence,available,manners
188,behind,spacious,cart,establish,artificial,organization,deeply,tongue
189,neck,heaps,bread,empire,educated,try,lifted,arrival
190,yards,civilization,parties,swiftly,men,taste,successful,respect
191,shoulders,palace,ain,daylight,soil,energy,handed,pockets
192,landing,maximum,ten,night,common,income,sides,spring
193,haze,local,three,courage,boots,flung,surveyed,beasts
194,cat,united,example,start,cities,charge,frequently,evidence
195,firing,grass,offices,civilization,patches,authority,standing,release
196,pink,glittering,expect,blow,tied,wings,spend,honour
197,pouring,japanese,besides,confusion,feeble,waste,resolution,leader
198,nodded,lines,house,plan,waste,basis,watched,disaster
199,crept,incessant,hundreds,now,kings,sharp,weapons,shame
200,hat,blaze,go,ship,uncertain,losing,discussing,rights
201,sword,workers,tea,dared,sell,demands,together,promise
202,heavy,development,where,island,teach,instrument,maintained,home
203,saw,armed,sent,somehow,eh,welfare,swung,despair
204,golden,drifting,automobile,coast,hot,blood,seconds,homes
205,wheels,cylinder,houses,heat,million,heavy,occasions,hurry
206,roof,apparatus,train,final,capable,top,liberal,fled
207,bridge,et,thoroughly,clouds,leaves,waved,profoundly,fanny
208,painted,pile,towns,synthesis,buy,bombs,waiting,conference
209,softly,land,employer,mad,hiding,serve,energetic,meeting
210,match,amidst,society,misery,bright,throwing,refused,tradition
211,burst,conspicuous,party,violence,stronger,provided,affected,aloud
212,seat,organized,travel,drifting,coloured,gip,parted,workers
213,drove,owners,wherever,fired,mustn,direct,continue,inn
214,beach,trenches,damned,follow,minded,offer,busy,distress
215,downward,mainly,working,throw,mixed,frog,worked,rooms
216,grey,developments,russian,southward,active,soil,fro,signs
217,shone,crest,british,realisation,pleasant,insist,hastily,enemy
218,floor,machinery,taught,alone,infinitely,horrocks,upstairs,newspapers
219,walls,cloud,drive,nations,gods,lack,sat,gates
220,bent,synthesis,games,see,thick,justice,heavily,guide
221,beating,rocks,walk,terror,simple,shoulder,approaching,mingled
222,stained,rolling,servant,keep,forest,dog,possess,imaginations
